Name,Type,Group,Location,Subscription,x,y,z
0fac175a-0013-4485-8a41-b8ddbee98115 (Key Vault Overview),Azure Workbook,usdt-monitoring-Cashapp-centralus-rg-001,East US,Cashapp Dev/Test,3,0,0
120e7527-786a-4f99-a181-854de8efce84-dashboard (Cashapp UAT Dashboard),Shared dashboard,fa-Cashapp-uat-tests,West US 2,Cashapp Dev/Test,5.5,0,0
1401f07b-334f-4109-a3af-07ad45a8991c-dashboard (Cashapp DEV Dashboard),Shared dashboard,fa-Cashapp-dev-tests,West US 2,Cashapp Dev/Test,8,0,0
1e323bef-c222-42f5-92a7-e428065d82e4 (Dataapp Dashboard Resources),Shared dashboard,dashboards,West US 2,Dataapp Dev/Test,10.5,0,0
26ea6d3c-4245-4237-8a9e-69791adcf077-dashboard (Dataapp DEV Dashboard),Shared dashboard,fa-dev-api,South Central US,Dataapp Dev/Test,13,0,0
36f099b9-f21e-4f54-b90b-db79412a0349-dashboard (Dataapp UAT),Shared dashboard,fa-uat-test,West US 2,Dataapp Dev/Test,15.5,0,0
3fa2c7dc-cdb7-4088-9b30-e6a1e93376be (All Apps),Shared dashboard,dashboards,Central US,Cashapp Dev/Test,18,0,0
4eff7b6d-32ca-4243-a249-18d452333a17 (Dataapp Environments),Shared dashboard,dashboards,West US 2,Dataapp Dev/Test,0,4,0
5db8f748-8467-454d-8ac6-1cccab43a9cc (Cashapp Service Fabric Environments),Shared dashboard,dashboards,Central US,Cashapp Dev/Test,2.5,4,0
810f0aba-677f-4dd3-8011-a7178dec1759-dashboard (usdt-logging-Dataapp-appinsights Dashboard),Shared dashboard,usdt-logging-Dataapp-centralus-rg-001,West US 2,Dataapp Dev/Test,5,4,0
90a62f16-37c0-4605-adb7-661abda3cb3f-dashboard (usdt-Dataapp-csdev-tests-centralus-appi Dashboard),Shared dashboard,usdt-Dataapp-csdev-tests-centralus-rg-001,Central US,Dataapp Dev/Test,7.5,4,0
9dab4718-a5ba-45d6-872b-964796540aff-dashboard (dh-dev-IngestionEngine Dashboard),Shared dashboard,fa-dev-api,West US 2,Dataapp Dev/Test,10,4,0
a2b3fc08-c7f3-4112-8d82-b31c509300d4-dashboard (Cashapp QA Dashboard),Shared dashboard,fa-Cashapp-qa-tests,West US 2,Cashapp Dev/Test,12.5,4,0
adb6c814-310e-422b-a15c-07fd1426b18b (ERP Connectors),Shared dashboard,dashboards,West US 2,Dataapp Dev/Test,15,4,0
aks-agentpool-29687680-nsg,Network security group,mc_usdt-aks-devops-centralus-rg-01_usdt-aks-devops-clstr-01_centralus,Central US,DevOps Dev/Test,17.5,4,0
aks-agentpool-29714445-vmss,Virtual machine scale set,mc_usdt-aks-devops-centralus-rg-01_usdt-aks-devops-clstr-01_centralus,Central US,DevOps Dev/Test,20,4,0
apim-Dataapp-csdev-01,API Management service,usdt-Dataapp-csdev-apps-centralus-rg-001,Central US,Dataapp Dev/Test,0,8,0
apim-Dataapp-dev,API Management service,fa-dev-api,Central US,Dataapp Dev/Test,2.5,8,0
apim-Dataapp-dev-v2,API Management service,fa-dev-api,East US,Dataapp Dev/Test,5,8,0
apim-Dataapp-qa,API Management service,fa-qa-api,Central US,Dataapp Dev/Test,7.5,8,0
apim-Dataapp-qa-v2,API Management service,fa-qa-api,Central US,Dataapp Dev/Test,10,8,0
apim-Dataapp-uat,API Management service,fa-uat-api,Central US,Dataapp Dev/Test,12.5,8,0
apim-Dataapp-uat-v2,API Management service,fa-uat-api,Central US,Dataapp Dev/Test,15,8,0
apitickler,Storage account,Cashapp-ase,West Central US,Cashapp Dev/Test,17.5,8,0
ASP-Dataappdevops-964a,App Service plan,Dataapp-devops,Central US,Dataapp Dev/Test,20,8,0
ASP-fadevapi-a59c,App Service plan,fa-dev-api,West Central US,Dataapp Dev/Test,0,12,0
ASP-Company1cnxerptk-a69a,App Service plan,Company1-cnx-erptk,West US,Dataapp Dev/Test,2.5,12,0
ASP-Company1cnxoracle-8ab0,App Service plan,Company1-cnx-oracle,East US,Dataapp Dev/Test,5,12,0
audit-app-sf-logging-dev,Availability test,fa-Cashapp-dev-tests,West US 2,Cashapp Dev/Test,7.5,12,0
audit-app-uat-sf-logging-uat,Availability test,fa-Cashapp-uat-tests,West US 2,Cashapp Dev/Test,10,12,0
audit-fa-Cashapp-hf,Availability test,fa-Cashapp-hf-tests,West US 2,Cashapp Dev/Test,12.5,12,0
audit-fa-Cashapp-qa,Availability test,fa-Cashapp-qa-tests,West US 2,Cashapp Dev/Test,15,12,0
audit-info-fa-Cashapp-qa,Availability test,fa-Cashapp-qa-tests,West US 2,Cashapp Dev/Test,17.5,12,0
audit-info-sf-logging-dev,Availability test,fa-Cashapp-dev-tests,West US 2,Cashapp Dev/Test,20,12,0
audit-info-sf-logging-uat,Availability test,fa-Cashapp-uat-tests,West US 2,Cashapp Dev/Test,0,16,0
AutoStop_CreateAlert_Child (devops-auto-vms/AutoStop_CreateAlert_Child),Runbook,devops,West US,Cashapp Dev/Test,2.5,16,0
AutoStop_CreateAlert_Parent (devops-auto-vms/AutoStop_CreateAlert_Parent),Runbook,devops,West US,Cashapp Dev/Test,5,16,0
AutoStop_Disable (devops-auto-vms/AutoStop_Disable),Runbook,devops,West US,Cashapp Dev/Test,7.5,16,0
AutoStop_VM_Child (devops-auto-vms/AutoStop_VM_Child),Runbook,devops,West US,Cashapp Dev/Test,10,16,0
AutoStop_VM_Child_ARM (devops-auto-vms/AutoStop_VM_Child_ARM),Runbook,devops,West US,Cashapp Dev/Test,12.5,16,0
AzureBackup_fa-dev-sftp_193515387258708,Restore Point Collection,azurebackuprg_centralus_1,Central US,Dataapp Dev/Test,15,16,0
AzureBackup_fa-qa-sftp_193516057751956,Restore Point Collection,azurebackuprg_centralus_1,Central US,Dataapp Dev/Test,17.5,16,0
AzureBackup_fa-uat-sftp_193515675542273,Restore Point Collection,azurebackuprg_centralus_1,Central US,Dataapp Dev/Test,20,16,0
azureblob,API Connection,tr_dss,West US,Cashapp Dev/Test,0,20,0
azureblob,API Connection,la-platform-orchestrator,West US 2,Cashapp Dev/Test,2.5,20,0
azureblob,API Connection,fa-dev-infrastructure,West US,Dataapp Dev/Test,5,20,0
azureblob,API Connection,fa-dev-logic,Central US,Dataapp Dev/Test,7.5,20,0
azureblob,API Connection,fa-qa-logic,Central US,Dataapp Dev/Test,10,20,0
azureblob,API Connection,fa-uat-logic,Central US,Dataapp Dev/Test,12.5,20,0
azureblob,API Connection,ky-hilton-wf,Central US,Dataapp Dev/Test,15,20,0
azureblob,API Connection,Company1-cnx-dynamics,West US,Dataapp Dev/Test,17.5,20,0
azureblob,API Connection,Company1-cnx-infor,West Central US,Dataapp Dev/Test,20,20,0
azureblob,API Connection,la-platform-orchestrator,West US 2,Dataapp Dev/Test,0,24,0
azureblob,API Connection,pbi-deployment-rg,West US,Dataapp Dev/Test,2.5,24,0
azureblob-1,API Connection,Company1-cnx-infor,West US,Dataapp Dev/Test,5,24,0
AzureFirewallPIP,Public IP address,usdt-manage-shared-centralus-rg-001,Central US,DevOps Dev/Test,7.5,24,0
AzureSQLAnalytics(fadhsqlserverdev-law),Solution,fa-dev-data,Central US,Dataapp Dev/Test,10,24,0
azuretables,API Connection,Company1-cnx-dynamics,West US,Dataapp Dev/Test,12.5,24,0
basetenantdb (catalog-mt-bbfa1/basetenantdb),SQL database,wingtip-sql-mt-bbfa1,Central US,Dataapp Dev/Test,15,24,0
bd31cbc6-2174-4342-9e21-e70b2f99166b-dashboard (dh-qa-IngestionEngine Dashboard),Shared dashboard,fa-qa-api,West US 2,Dataapp Dev/Test,17.5,24,0
blob.core.windows.net,Private DNS zone,fa-qa-sftp-rg-001,Global,Dataapp Dev/Test,20,24,0
ca-frontend-qa,App Service,ca-qa,West US 2,Cashapp Dev/Test,0,28,0
ca-frontend-test,App Service,ca-test,West US 2,Cashapp Dev/Test,2.5,28,0
ca-frontend-uat,App Service,ca-uat,West US 2,Cashapp Dev/Test,5,28,0
ca-portal-combined,App Service,ca-node-test,West Central US,Cashapp Dev/Test,7.5,28,0
ca-portal-qa,App Service,ca-qa,West US 2,Cashapp Dev/Test,10,28,0
ca-portal-test,App Service,ca-test,West US 2,Cashapp Dev/Test,12.5,28,0
ca-portal-uat,App Service,ca-uat,West US 2,Cashapp Dev/Test,15,28,0
cadevstorage3321,Storage account,ca-dev,West US,Cashapp Dev/Test,17.5,28,0
calendar-app-uat-sf-logging-uat,Availability test,fa-Cashapp-uat-tests,West US 2,Cashapp Dev/Test,20,28,0
calendar-fa-Cashapp-hf,Availability test,fa-Cashapp-hf-tests,West US 2,Cashapp Dev/Test,0,32,0
calendar-fa-Cashapp-qa,Availability test,fa-Cashapp-qa-tests,West US 2,Cashapp Dev/Test,2.5,32,0
calendar-info-fa-Cashapp-qa,Availability test,fa-Cashapp-qa-tests,West US 2,Cashapp Dev/Test,5,32,0
calendar-info-sf-logging-dev,Availability test,fa-Cashapp-dev-tests,West US 2,Cashapp Dev/Test,7.5,32,0
calendar-info-sf-logging-uat,Availability test,fa-Cashapp-uat-tests,West US 2,Cashapp Dev/Test,10,32,0
calendar-sf-logging-dev,Availability test,fa-Cashapp-dev-tests,West US 2,Cashapp Dev/Test,12.5,32,0
Cashappauditing,Storage account,sf-data-hf,West US 2,Cashapp Dev/Test,15,32,0
Cashappdevsfdiagdev001,Storage account,usdt-Cashapp-dev-centralus-rg-001,Central US,Cashapp Dev/Test,17.5,32,0
Cashappdevsflogs001,Storage account,usdt-Cashapp-dev-centralus-rg-001,Central US,Cashapp Dev/Test,20,32,0
Cashapphfsfdiag003,Storage account,usdt-Cashapp-hf-centralus-rg-001,Central US,Cashapp Dev/Test,0,36,0
Cashapphfsflogs003,Storage account,usdt-Cashapp-hf-centralus-rg-001,Central US,Cashapp Dev/Test,2.5,36,0
Cashappqasfdiag001,Storage account,usdt-Cashapp-qa-centralus-rg-001,Central US,Cashapp Dev/Test,5,36,0
Cashappqasflogs001,Storage account,usdt-Cashapp-qa-centralus-rg-001,Central US,Cashapp Dev/Test,7.5,36,0
Cashappsqlauditingdev,Storage account,usdt-data-Cashapp-dev-centralus-rg-001,Central US,Cashapp Dev/Test,10,36,0
Cashappsqlauditinghf,Storage account,usdt-data-Cashapp-hf-centralus-rg-001,Central US,Cashapp Dev/Test,12.5,36,0
Cashappsqlauditingqa,Storage account,usdt-data-Cashapp-qa-centralus-rg-001,Central US,Cashapp Dev/Test,15,36,0
Cashappsqlauditinguat,Storage account,usdt-data-Cashapp-uat-centralus-rg-001,Central US,Cashapp UAT,17.5,36,0
Cashappsqlthreatsdev,Storage account,usdt-data-Cashapp-dev-centralus-rg-001,Central US,Cashapp Dev/Test,20,36,0
Cashappsqlthreatshf,Storage account,usdt-data-Cashapp-hf-centralus-rg-001,Central US,Cashapp Dev/Test,0,40,0
Cashappsqlthreatsqa,Storage account,usdt-data-Cashapp-qa-centralus-rg-001,Central US,Cashapp Dev/Test,2.5,40,0
