NAME,SUBSCRIPTION,LOCATION
AzureBackupRG_centralus_1,DataApp Dev/Test,Central US
BackupVaultCleanupResourceGroup,Dynamics Dev/Test,East US
ca-dev,CashApp Dev/Test,West US 2
ca-node-test,CashApp Dev/Test,West US 2
ca-qa,CashApp Dev/Test,West US 2
ca-test,CashApp Dev/Test,West US 2
ca-uat,CashApp Dev/Test,West US 2
CashApp-ASE,CashApp Dev/Test,West Central US
CashApp-docker,CashApp Dev/Test,West Central US
CashApp_appconfig,CashApp Dev/Test,West US 2
Classic-Dev,CashApp Dev/Test,West US
cloud-shell-storage-eastus,CashApp Dev/Test,East US
cloud-shell-storage-southcentralus,CashApp Dev/Test,South Central US
cloud-shell-storage-westus,CashApp Dev/Test,West US
cloud-shell-storage-westus,DataApp Dev/Test,West US
dashboards,CashApp Dev/Test,Central US
dashboards,DataApp Dev/Test,West US 2
DataApp-devops,DataApp Dev/Test,Central US
DataApp-tfstate,DataApp Dev/Test,Central US
DefaultResourceGroup-CUS,DevOps Dev/Test,Central US
DefaultResourceGroup-CUS,CashApp Dev/Test,Central US
DefaultResourceGroup-CUS,DataApp Dev/Test,Central US
DefaultResourceGroup-EAU,CashApp Dev/Test,Australia East
DefaultResourceGroup-EAU,DataApp Dev/Test,Australia East
DefaultResourceGroup-EJP,CashApp Dev/Test,Japan East
DefaultResourceGroup-EUS,CashApp Dev/Test,East US
DefaultResourceGroup-EUS,DataApp Dev/Test,East US
DefaultResourceGroup-SEA,CashApp Dev/Test,Southeast Asia
DefaultResourceGroup-WCUS,CashApp Dev/Test,West Central US
DefaultResourceGroup-WUS,CashApp Dev/Test,West US
DefaultResourceGroup-WUS,Dynamics Dev/Test,West US
DefaultResourceGroup-WUS,DataApp Dev/Test,West US
DefaultResourceGroup-WUS2,CashApp Dev/Test,West US 2
DefaultResourceGroup-WUS2,DataApp Dev/Test,West US 2
deploy-bot,CashApp Dev/Test,West Central US
devops,CashApp Dev/Test,West Central US
devops-build,DataApp Dev/Test,Central US
devops-gavin,CashApp Dev/Test,West US
devops-images,CashApp Dev/Test,West US 2
devops-images-test,CashApp Dev/Test,West US 2
devops-nabil,CashApp Dev/Test,West Europe
DockerRegistry,CashApp Dev/Test,West US 2
DynamicsDeployments-westus,Dynamics Dev/Test,West US
fa-CashApp-dev-tests,CashApp Dev/Test,West US 2
fa-CashApp-hf-tests,CashApp Dev/Test,West US 2
fa-CashApp-qa-tests,CashApp Dev/Test,West US 2
fa-CashApp-uat-tests,CashApp Dev/Test,West US 2
fa-CashApp-vault,CashApp Dev/Test,West US 2
fa-contracts-dev,CashApp Dev/Test,West US 2
fa-dev-api,DataApp Dev/Test,Central US
fa-dev-data,DataApp Dev/Test,West US 2
fa-dev-infrastructure,DataApp Dev/Test,Central US
fa-dev-logging,DataApp Dev/Test,Central US
fa-dev-logic,DataApp Dev/Test,Central US
fa-dev-sample-sb-conn,CashApp Dev/Test,Central US
fa-dev-security,DataApp Dev/Test,Central US
fa-dev-sftp,DataApp Dev/Test,Central US
fa-dev-sftp-admin,DataApp Dev/Test,Central US
fa-dev-sftp-v2,DataApp Dev/Test,Central US
fa-devops-bot,CashApp Dev/Test,West US
fa-docker,DataApp Dev/Test,West US 2
fa-pbi-service-RG,CashApp Dev/Test,West US
fa-qa-api,DataApp Dev/Test,Central US
