NAME,TYPE,RESOURCE GROUP,LOCATION,SUBSCRIPTION,,LMCOST
0fac175a-0013-4485-8a41-b8ddbee98115 (Key Vault Overview),Azure Workbook,usdt-monitoring-Cashapp-centralus-rg-001,East US,Cashapp Dev/Test,,49.47
120e7527-786a-4f99-a181-854de8efce84-dashboard (Cashapp UAT Dashboard),Shared dashboard,fa-Cashapp-uat-tests,West US 2,Cashapp Dev/Test,,49.47
1401f07b-334f-4109-a3af-07ad45a8991c-dashboard (Cashapp DEV Dashboard),Shared dashboard,fa-Cashapp-dev-tests,West US 2,Cashapp Dev/Test,,49.47
1e323bef-c222-42f5-92a7-e428065d82e4 (Dataapp Dashboard Resources),Shared dashboard,dashboards,West US 2,Dataapp Dev/Test,,49.47
26ea6d3c-4245-4237-8a9e-69791adcf077-dashboard (Dataapp DEV Dashboard),Shared dashboard,fa-dev-api,South Central US,Dataapp Dev/Test,,49.47
36f099b9-f21e-4f54-b90b-db79412a0349-dashboard (Dataapp UAT),Shared dashboard,fa-uat-test,West US 2,Dataapp Dev/Test,,49.47
3fa2c7dc-cdb7-4088-9b30-e6a1e93376be (All Apps),Shared dashboard,dashboards,Central US,Cashapp Dev/Test,,99.95
4eff7b6d-32ca-4243-a249-18d452333a17 (Dataapp Environments),Shared dashboard,dashboards,West US 2,Dataapp Dev/Test,,49.47
5db8f748-8467-454d-8ac6-1cccab43a9cc (Cashapp Service Fabric Environments),Shared dashboard,dashboards,Central US,Cashapp Dev/Test,,49.47
810f0aba-677f-4dd3-8011-a7178dec1759-dashboard (usdt-logging-Dataapp-appinsights Dashboard),Shared dashboard,usdt-logging-Dataapp-centralus-rg-001,West US 2,Dataapp Dev/Test,,49.47
90a62f16-37c0-4605-adb7-661abda3cb3f-dashboard (usdt-Dataapp-csdev-tests-centralus-appi Dashboard),Shared dashboard,usdt-Dataapp-csdev-tests-centralus-rg-001,Central US,Dataapp Dev/Test,,135.15
9dab4718-a5ba-45d6-872b-964796540aff-dashboard (dh-dev-IngestionEngine Dashboard),Shared dashboard,fa-dev-api,West US 2,Dataapp Dev/Test,,138
a2b3fc08-c7f3-4112-8d82-b31c509300d4-dashboard (Cashapp QA Dashboard),Shared dashboard,fa-Cashapp-qa-tests,West US 2,Cashapp Dev/Test,,99
adb6c814-310e-422b-a15c-07fd1426b18b (ERP Connectors),Shared dashboard,dashboards,West US 2,Dataapp Dev/Test,,135.15
aks-agentpool-29687680-nsg,Network security group,mc_usdt-aks-devops-centralus-rg-01_usdt-aks-devops-clstr-01_centralus,Central US,DevOps Dev/Test,,55
aks-agentpool-29714445-vmss,Virtual machine scale set,mc_usdt-aks-devops-centralus-rg-01_usdt-aks-devops-clstr-01_centralus,Central US,DevOps Dev/Test,,5
apim-Dataapp-csdev-01,API Management service,usdt-Dataapp-csdev-apps-centralus-rg-001,Central US,Dataapp Dev/Test,,5
apim-Dataapp-dev,API Management service,fa-dev-api,Central US,Dataapp Dev/Test,,5
apim-Dataapp-dev-v2,API Management service,fa-dev-api,East US,Dataapp Dev/Test,,5
apim-Dataapp-qa,API Management service,fa-qa-api,Central US,Dataapp Dev/Test,,5
apim-Dataapp-qa-v2,API Management service,fa-qa-api,Central US,Dataapp Dev/Test,,5
apim-Dataapp-uat,API Management service,fa-uat-api,Central US,Dataapp Dev/Test,,5
apim-Dataapp-uat-v2,API Management service,fa-uat-api,Central US,Dataapp Dev/Test,,50
apitickler,Storage account,Cashapp-ase,West Central US,Cashapp Dev/Test,,50
ASP-Dataappdevops-964a,App Service plan,Dataapp-devops,Central US,Dataapp Dev/Test,,50
ASP-fadevapi-a59c,App Service plan,fa-dev-api,West Central US,Dataapp Dev/Test,,50
ASP-Company1cnxerptk-a69a,App Service plan,Company1-cnx-erptk,West US,Dataapp Dev/Test,,225
ASP-Company1cnxoracle-8ab0,App Service plan,Company1-cnx-oracle,East US,Dataapp Dev/Test,,0
audit-app-sf-logging-dev,Availability test,fa-Cashapp-dev-tests,West US 2,Cashapp Dev/Test,,15
audit-app-uat-sf-logging-uat,Availability test,fa-Cashapp-uat-tests,West US 2,Cashapp Dev/Test,,0
audit-fa-Cashapp-hf,Availability test,fa-Cashapp-hf-tests,West US 2,Cashapp Dev/Test,,0
audit-fa-Cashapp-qa,Availability test,fa-Cashapp-qa-tests,West US 2,Cashapp Dev/Test,,0
audit-info-fa-Cashapp-qa,Availability test,fa-Cashapp-qa-tests,West US 2,Cashapp Dev/Test,,0
audit-info-sf-logging-dev,Availability test,fa-Cashapp-dev-tests,West US 2,Cashapp Dev/Test,,20
audit-info-sf-logging-uat,Availability test,fa-Cashapp-uat-tests,West US 2,Cashapp Dev/Test,,20
