NAME,TYPE,RESOURCE GROUP,LOCATION,SUBSCRIPTION,,LMCOST
0fac175a-0013-4485-8a41-b8ddbee98115 (Key Vault Overview),Azure Workbook,usdt-monitoring-Cashapp-centralus-rg-001,East US,Cashapp Dev/Test,,49.47
120e7527-786a-4f99-a181-854de8efce84-dashboard (Cashapp UAT Dashboard),Shared dashboard,Cashapp-uat-tests,West US 2,Cashapp Dev/Test,,49.47
1401f07b-334f-4109-a3af-07ad45a8991c-dashboard (Cashapp DEV Dashboard),Shared dashboard,Cashapp-dev-tests,West US 2,Cashapp Dev/Test,,49.47
1e323bef-c222-42f5-92a7-e428065d82e4 (Dataapp Dashboard Resources),Shared dashboard,dashboards,West US 2,Dataapp Dev/Test,,49.47
26ea6d3c-4245-4237-8a9e-69791adcf077-dashboard (Dataapp DEV Dashboard),Shared dashboard,dev-api,South Central US,Dataapp Dev/Test,,49.47
36f099b9-f21e-4f54-b90b-db79412a0349-dashboard (Dataapp UAT),Shared dashboard,uat-test,West US 2,Dataapp Dev/Test,,49.47
3fa2c7dc-cdb7-4088-9b30-e6a1e93376be (All Apps),Shared dashboard,dashboards,Central US,Cashapp Dev/Test,,99.95
4eff7b6d-32ca-4243-a249-18d452333a17 (Dataapp Environments),Shared dashboard,dashboards,West US 2,Dataapp Dev/Test,,49.47
5db8f748-8467-454d-8ac6-1cccab43a9cc (Cashapp Service Fabric Environments),Shared dashboard,dashboards,Central US,Cashapp Dev/Test,,49.47
810f0aba-677f-4dd3-8011-a7178dec1759-dashboard (usdt-logging-Dataapp-appinsights Dashboard),Shared dashboard,usdt-logging-Dataapp-centralus-rg-001,West US 2,Dataapp Dev/Test,,49.47
90a62f16-37c0-4605-adb7-661abda3cb3f-dashboard (usdt-Dataapp-client-tests-centralus-appi Dashboard),Shared dashboard,usdt-Dataapp-client-tests-centralus-rg-001,Central US,Dataapp Dev/Test,,135.15
9dab4718-a5ba-45d6-872b-964796540aff-dashboard (ha-dev-IngestionEngine Dashboard),Shared dashboard,dev-api,West US 2,Dataapp Dev/Test,,138
a2b3fc08-c7f3-4112-8d82-b31c509300d4-dashboard (Cashapp QA Dashboard),Shared dashboard,Cashapp-qa-tests,West US 2,Cashapp Dev/Test,,99
adb6c814-310e-422b-a15c-07fd1426b18b (ERP Connectors),Shared dashboard,dashboards,West US 2,Dataapp Dev/Test,,135.15
aks-agentpool-29687680-nsg,Network security group,mc_usdt-aks-devops-centralus-rg-01_usdt-aks-devops-clstr-01_centralus,Central US,DevOps Dev/Test,,55
aks-agentpool-29714445-vmss,Virtual machine scale set,mc_usdt-aks-devops-centralus-rg-01_usdt-aks-devops-clstr-01_centralus,Central US,DevOps Dev/Test,,5
apim-Dataapp-client-01,API Management service,usdt-Dataapp-client-apps-centralus-rg-001,Central US,Dataapp Dev/Test,,5
apim-Dataapp-dev,API Management service,dev-api,Central US,Dataapp Dev/Test,,5
apim-Dataapp-dev-v2,API Management service,dev-api,East US,Dataapp Dev/Test,,5
apim-Dataapp-qa,API Management service,qa-api,Central US,Dataapp Dev/Test,,5
apim-Dataapp-qa-v2,API Management service,qa-api,Central US,Dataapp Dev/Test,,5
apim-Dataapp-uat,API Management service,uat-api,Central US,Dataapp Dev/Test,,5
apim-Dataapp-uat-v2,API Management service,uat-api,Central US,Dataapp Dev/Test,,50
apitickler,Storage account,Cashapp-ase,West Central US,Cashapp Dev/Test,,50
ASP-Dataappdevops-964a,App Service plan,Dataapp-devops,Central US,Dataapp Dev/Test,,50
ASP-fadevapi-a59c,App Service plan,dev-api,West Central US,Dataapp Dev/Test,,50
ASP-Company1cnxerptk-a69a,App Service plan,Company1-cnx-erptk,West US,Dataapp Dev/Test,,225
ASP-Company1cnxoracle-8ab0,App Service plan,Company1-cnx-oracle,East US,Dataapp Dev/Test,,0
audit-app-sf-logging-dev,Availability test,Cashapp-dev-tests,West US 2,Cashapp Dev/Test,,15
audit-app-uat-sf-logging-uat,Availability test,Cashapp-uat-tests,West US 2,Cashapp Dev/Test,,0
audit-Cashapp-hf,Availability test,Cashapp-hf-tests,West US 2,Cashapp Dev/Test,,0
audit-Cashapp-qa,Availability test,Cashapp-qa-tests,West US 2,Cashapp Dev/Test,,0
audit-info-Cashapp-qa,Availability test,Cashapp-qa-tests,West US 2,Cashapp Dev/Test,,0
audit-info-sf-logging-dev,Availability test,Cashapp-dev-tests,West US 2,Cashapp Dev/Test,,20
audit-info-sf-logging-uat,Availability test,Cashapp-uat-tests,West US 2,Cashapp Dev/Test,,20
AutoStop_CreateAlert_Child (devops-auto-vms/AutoStop_CreateAlert_Child),Runbook,devops,West US,Cashapp Dev/Test,,20
AutoStop_CreateAlert_Parent (devops-auto-vms/AutoStop_CreateAlert_Parent),Runbook,devops,West US,Cashapp Dev/Test,,20
AutoStop_Disable (devops-auto-vms/AutoStop_Disable),Runbook,devops,West US,Cashapp Dev/Test,,20
AutoStop_VM_Child (devops-auto-vms/AutoStop_VM_Child),Runbook,devops,West US,Cashapp Dev/Test,,20
AutoStop_VM_Child_ARM (devops-auto-vms/AutoStop_VM_Child_ARM),Runbook,devops,West US,Cashapp Dev/Test,,20
AzureBackup_dev-sftp_193515387258708,Restore Point Collection,azurebackuprg_centralus_1,Central US,Dataapp Dev/Test,,44
AzureBackup_qa-sftp_193516057751956,Restore Point Collection,azurebackuprg_centralus_1,Central US,Dataapp Dev/Test,,23
AzureBackup_uat-sftp_193515675542273,Restore Point Collection,azurebackuprg_centralus_1,Central US,Dataapp Dev/Test,,23
azureblob,API Connection,tr_dss,West US,Cashapp Dev/Test,,0
azureblob,API Connection,la-platform-orchestrator,West US 2,Cashapp Dev/Test,,0
azureblob,API Connection,dev-infrastructure,West US,Dataapp Dev/Test,,0
