NAME,TYPE,RESOURCE GROUP,LOCATION,SUBSCRIPTION,LMCOST
A,AAD,Test Positioning,West US,Test,49.47
B,Resource_Group,Test Positioning,West US,Test,49.47
C,Storage_account,Test Positioning,West US,Test,49.47
D,App_Service,Test Positioning,West US,Test,49.47
E,Subscription,Test Positioning,West US,Test,49.47
F,API_Connection,Test Positioning,West US,Test,49.47
G,API_Management_service,Test Positioning,West US,Test,99.95
H,App_Configuration,Test Positioning,West US,Test,49.47
I,App_Service_plan,Test Positioning,West US,Test,49.47
J,Application_Insights,Test Positioning,West US,Test,135.15
K,Application_gateway,Test Positioning,West US,Test,138
