NAME,SUBSCRIPTION,LOCATION
AAD,Test,WestUS
Resource_Group,Test,WestUS
Storage_account,Test,WestUS
App_Service,Test,WestUS
Subscription,Test,WestUS
API_Connection,Test,WestUS
API_Management_service,Test,WestUS
App_Configuration,Test,WestUS
App_Service_plan,Test,WestUS
App_Service,Test,WestUS
Application_Insights,Test,WestUS
Application_gateway,Test,WestUS
Automation_Account,Test,WestUS
Availability_test,Test,WestUS
Azure_Cosmos_DB_API_for_MongoDB_account,Test,WestUS
Azure_Cosmos_DB_account,Test,WestUS
Azure_Data_Explorer_Cluster,Test,WestUS
Azure_DevOps_organization,Test,WestUS
Azure_Machine_Learning,Test,WestUS
Azure_Workbook,Test,WestUS
Bastion,Test,WestUS
Cognitive_Service,Test,WestUS
Container_registry,Test,WestUS
Data_Lake_Analytics,Test,WestUS
Data_Lake_Storage_Gen1,Test,WestUS
Data_factory_(V2),Test,WestUS
Disk,Test,WestUS
DNS_Zone,Test,WestUS
Event_Grid_System_Topic,Test,WestUS
Event_Hubs_Namespace,Test,WestUS
Firewall_Policy,Test,WestUS
Firewall,Test,WestUS
Function_App,Test,WestUS
Image,Test,WestUS
Key_vault,Test,WestUS
Kubernetes_service,Test,WestUS
Language_understanding,Test,WestUS
Load_balancer,Test,WestUS
Log_Analytics_query_pack,Test,WestUS
Log_Analytics_workspace,Test,WestUS
Logic_App_(Standard),Test,WestUS
Logic_app,Test,WestUS
Logic_apps_custom_connector,Test,WestUS
Managed_Identity,Test,WestUS
Network_Interface,Test,WestUS
Network_Watcher,Test,WestUS
Network_security_group,Test,WestUS
Power_BI_Embedded,Test,WestUS
Private_DNS_zone,Test,WestUS
Private_endpoint,Test,WestUS
Public_IP_address,Test,WestUS
Recovery_Services_vault,Test,WestUS
Restore_Point_Collection,Test,WestUS
Runbook,Test,WestUS
SQL_database,Test,WestUS
SQL_elastic_pool,Test,WestUS
SQL_server,Test,WestUS
SQL_virtual_machine,Test,WestUS
Search_service,Test,WestUS
Service_Bus_Namespace,Test,WestUS
Service_Fabric_cluster,Test,WestUS
Shared_dashboard,Test,WestUS
Snapshot,Test,WestUS
Solution,Test,WestUS
Storage_account,Test,WestUS
Traffic_Manager_profile,Test,WestUS
Virtual_machine_scale_set,Test,WestUS
Virtual_machine,Test,WestUS
Virtual_network,Test,WestUS
Web_App_Bot,Test,WestUS
